,Equipe_D,Equipe_E,Cote_D,Cote_N,Cote_E,Score_D,Score_E,Saison,Winner_D,Winner_E,Elo_D_Before,Elo_D,Elo_E_Before,Elo_E,Diff_Victoire,Diff_Nul,Diff_Defaite,Diff_But,Diff_Encaisse,Diff_Moyenne_cote,Diff_Elo_Before,Points_a,Points_b,Diff_Points,PCA1,PCA2,PCA3
1000,St Etienne,Marseille,2.85,3.22,2.59,0,2,2019-2020,0,1,1544.4097617953896,1537.084634848365,1639.661146883623,1646.9862738306474,-1,-3,4,-1,10,2.1699999999999995,-95.25138508823329,28,43,-15,-1.2989137245701068,-0.4259554905377696,2.3524846191783784
1001,Brest,Bordeaux,2.72,3.25,2.67,1,1,2019-2020,0,0,1471.2890565205535,1472.543967250429,1515.1201795389882,1513.8652688091126,1,0,-1,5,6,-0.02200000000000024,-43.83112301843471,28,30,-2,-0.10521600590740667,0.8737996030840975,1.9308417213509665
1002,Lyon,Amiens,1.44,4.55,7.71,0,0,2019-2020,0,0,1599.1432741759781,1594.9907526549753,1445.5971974338943,1449.7497189548972,2,-1,-1,3,-4,-7.904,153.54607674208387,32,19,13,1.1971376914007936,0.6116945514804567,-0.5769361479950612
1003,Montpellier,Metz,1.66,3.51,6.19,1,1,2019-2020,0,0,1570.728061685577,1567.844528107971,1467.619826041841,1470.5033596194469,0,-2,2,1,5,2.7460000000000004,103.10823564373595,33,26,7,0.5059203324737266,-0.8082964709234882,1.5993002526088471
1004,Nimes,Dijon,2.22,3.26,3.46,2,0,2019-2020,1,0,1471.985042235625,1482.0649355583619,1474.7608796331097,1464.6809863103729,0,-2,2,-1,2,1.1899999999999995,-2.7758373974845654,18,24,-6,-0.49124619064041675,-0.07840720843589964,0.41796834730699045
1005,Reims,Nice,1.88,3.33,4.65,1,1,2019-2020,0,0,1541.850435666876,1542.4250545047212,1561.8367557044664,1561.2621368666212,-1,-1,2,-1,3,-0.14599999999999902,-19.98632003759053,32,32,0,-0.03387904442910494,-0.6169579825511247,0.7044591378966838
1006,Toulouse,Strasbourg,3.45,3.16,2.27,0,1,2019-2020,0,1,1393.255851743126,1386.5906191098532,1513.7239043746863,1520.389137007959,-3,1,2,-5,7,1.8479999999999999,-120.46805263156034,13,30,-17,-1.4834075176917887,-0.94287473662139,0.9049859113175397
1007,Nantes,Paris SG,9.5,5.68,1.3,1,2,2019-2020,0,1,1523.7593877165377,1519.7302567585305,1763.0062537826075,1767.0353847406147,-2,-1,3,-12,1,1.5339999999999998,-239.24686606606974,32,55,-23,-1.983762654601104,-1.5042231358703655,-1.372328238945658
1008,Lille,Rennes,1.97,3.35,4.22,1,0,2019-2020,1,0,1589.0115559349013,1599.1692284545518,1594.490114384827,1584.3324418651764,-1,-1,2,-1,6,0.9700000000000002,-5.478558449925686,34,40,-6,-0.5393599985856422,-0.5209774082993468,1.3505754173639022
1009,Monaco,Angers,1.64,4.01,5.33,1,0,2019-2020,1,0,1530.4744279731142,1540.2412942765231,1522.3730657898645,1512.6061994864556,0,-2,2,7,8,2.166,8.101362183249648,29,30,-1,-0.05611492416519547,0.7807687231753289,2.9152166053718447
